stationID,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
310,11.048,10.44,11.341,11.348,9.2915,10.927,10.972,11.658,11.41,11.145,11.48,11.366,11.295,11.332,11.667,11.867,11.202,11.174,9.8184,11.679
319,10.583,10.054,10.941,10.867,9.0186,10.596,10.725,11.254,11.277,10.877,11.114,10.775,10.634,10.948,11.296,11.41,10.686,10.768,9.4786,11.462
323,10.819,10.265,11.033,10.964,9.0926,10.828,10.821,11.355,11.178,10.904,11.282,11.015,10.925,11.009,11.396,11.455,10.775,10.823,9.6025,11.424
330,10.88,10.197,11.063,10.896,9.0532,10.635,10.902,11.535,11.25,10.997,11.302,11.085,11.069,11.207,11.584,11.692,11.02,10.951,9.5405,11.306
344,10.732,9.9688,10.844,10.652,8.8175,10.466,10.742,11.193,11.093,10.602,11.013,10.747,10.606,10.871,11.379,11.397,10.693,10.762,9.3816,11.213
210,10.701,9.8134,10.783,10.542,8.5548,10.178,10.57,11.112,11.021,10.648,10.977,10.544,10.521,10.689,11.143,11.251,10.638,10.546,9.1148,10.985
350,10.396,9.7959,10.751,10.551,8.6537,10.243,10.37,10.847,10.93,10.441,10.904,10.636,10.456,10.779,11.201,11.193,10.544,10.533,9.2515,11.122
348,10.257,9.4814,10.44,10.27,8.5474,10.138,10.278,10.817,10.837,10.358,10.768,10.403,10.307,10.552,11.078,11.092,10.525,10.462,9.0575,10.911
240,10.572,9.6241,10.597,10.487,8.6005,10.275,10.571,11.097,10.997,10.613,10.934,10.68,10.727,10.939,11.339,11.42,10.794,10.697,9.2307,11.045
380,10.379,9.8827,11.047,10.749,8.8523,10.425,10.382,11.073,11.136,10.581,11.093,10.982,10.396,10.81,11.162,11.187,10.544,10.6,9.2978,11.194
370,10.385,9.8586,10.922,10.587,8.7671,10.328,10.32,10.945,11.017,10.498,10.96,10.761,10.418,10.793,11.266,11.215,10.628,10.63,9.4115,11.277
356,10.267,9.4603,10.476,10.212,8.3838,9.9685,10.166,10.71,10.786,10.283,10.594,10.278,10.194,10.492,11.013,11.004,10.381,10.301,8.9126,10.825
260,10.557,9.6562,10.639,10.474,8.5951,10.291,10.423,10.941,10.909,10.395,10.755,10.384,10.381,10.685,11.235,11.226,10.618,10.531,9.1636,10.934
375,10.334,9.7529,10.76,10.453,8.537,10.134,10.208,10.778,10.835,10.322,10.639,10.473,10.27,10.579,11.07,11.034,10.199,10.337,9.0734,10.85
391,10.467,9.7652,10.872,10.553,8.5811,10.163,10.319,10.962,11.053,10.509,10.883,10.683,10.453,10.794,11.308,11.341,10.722,10.61,9.3452,11.139
235,10.554,9.4022,10.485,10.286,8.3616,10.007,10.242,10.975,10.695,10.427,10.752,10.579,10.637,10.678,11.193,11.232,10.627,10.528,8.9592,10.696
275,10.253,9.3323,10.351,9.931,8.0841,9.8501,9.9521,10.588,10.607,10.101,10.457,10.291,10.017,10.295,10.802,10.655,10.093,10.141,8.7055,10.546
269,10.12,9.1767,10.174,10.061,8.2038,9.9729,10.146,10.634,10.66,10.2,10.468,10.084,10.182,10.388,10.824,10.96,10.338,10.328,8.7866,10.565
267,10.438,9.3153,10.419,10.236,8.2562,9.9033,10.157,7.6241,10.585,10.104,10.408,10.105,10.307,10.327,10.854,10.997,10.398,10.249,8.6225,10.298
273,10.091,9.1488,10.163,9.8619,7.9463,9.7329,9.8882,10.474,10.463,9.9482,10.291,9.9088,10.116,10.267,10.834,10.891,10.237,10.096,8.5016,10.406
278,10.091,9.0079,10.064,9.8115,7.9581,9.7671,7.7258,10.462,10.518,9.9378,10.324,9.8584,10.005,10.094,10.777,10.733,10.232,10.11,8.6058,10.37
270,9.9581,8.8186,9.8479,9.471,7.7008,9.4134,9.6644,10.248,10.207,9.6948,10.169,9.8496,10.011,10.102,10.611,10.702,10.116,9.9644,8.4241,10.251
283,10.187,9.1216,10.285,9.9992,7.9792,9.737,9.8449,10.489,10.559,9.9449,10.341,10.027,9.974,10.224,10.868,10.784,10.166,10.051,8.6392,10.487
277,10.389,9.1241,10.177,9.9329,8.0063,9.7578,9.8956,10.762,10.536,10.14,10.482,10.22,10.356,10.47,10.89,11.136,10.595,10.323,8.8342,10.288
279,9.98,8.8784,9.9266,9.6751,7.8323,9.6608,9.7293,10.347,10.344,9.6858,10.095,9.734,9.8907,9.9586,10.521,10.595,10.038,9.8556,8.4044,10.164
290,10.22,9.0877,10.218,9.8173,7.869,9.6784,9.7932,10.495,10.563,9.8932,10.262,9.9742,9.911,10.145,10.822,10.713,10.157,10.056,8.543,10.355
280,9.8926,8.6551,9.6995,9.3995,7.586,9.4438,9.6578,10.252,10.239,9.6145,10.1,9.6981,9.843,9.9416,10.579,10.607,10.139,9.7814,8.1715,9.9789
286,9.7175,8.506,9.6315,9.3126,7.5332,9.2811,9.4329,10.11,10.103,9.4189,10.035,9.5241,9.743,9.8477,10.349,10.562,10.055,9.7975,8.1833,9.9753
